Ra,Dec,FluxInMCrab,FluxErr,Sign.
1.008,70.322,61,0.09,6.78
5.723,61.7,55,0.07,7.86
6.334,64.15,64,0.07,9.14
6.387,68.362,70,0.08,8.75
7.205,59.3,409,0.07,58.43
7.254,59.563,2188,0.23,95.13
8.397,61.448,47,0.07,6.71
8.977,59.827,98,0.07,14
9.286,61.386,47,0.07,6.71
12.181,31.947,678,0.36,18.83
13.526,-72.468,201,0.35,5.74
14.176,60.712,332,0.08,41.5
19.299,-73.449,3074,0.34,90.41
19.516,65.289,940,0.09,104.44
19.625,63.746,12550,0.36,348.61
24.06,66.188,1544,1.88,8.21
24.639,-40.02,348,0.5,6.96
26.63,61.738,200,0.11,18.18
26.744,61.351,119,0.11,10.82
28.208,-3.45,119,0.13,9.15
30.277,-6.819,362,0.12,30.17
31.612,-0.297,81,0.12,6.75
32.141,-17.659,93,0.18,5.17
32.392,52.458,185,0.23,8.04
33.64,-0.767,79,0.12,6.58
34.113,51.441,154,0.25,6.16
34.494,73.802,124,0.21,5.9
37.063,31.316,281,0.38,7.39
38.599,32.475,212,0.3,7.07
38.657,-8.788,129,0.13,9.92
40.09,61.222,122,0.17,7.18
40.267,-8.236,121,0.14,8.64
40.687,-0.01,148,0.14,10.57
41.22,14.71,211,0.44,4.8
41.262,62.464,260,0.17,15.29
41.644,-42.36,201,0.36,5.58
42.547,54.678,141,0.22,6.41
43.115,-8.486,102,0.16,6.38
43.804,-0.186,361,0.18,20.06
44.038,19.441,202,0.37,5.46
45.955,-1.104,110,0.22,5
49.973,41.509,264,0.17,15.53
51.14,34.168,199,0.32,6.22
51.225,40.698,89,0.17,5.24
52.777,43.88,176,0.17,10.35
53.362,37.313,141,0.16,8.81
53.428,-36.17,262,0.5,5.24
53.751,53.172,39329,0.34,1156.7
54.125,32.308,133,0.17,7.82
55.513,-21.241,240,0.47,5.11
58.849,31.036,3007,0.19,158.26
61.837,3.748,171,0.27,6.33
64.581,38.013,428,0.18,23.78
65.53,48.95,73,0.15,4.87
65.923,4.136,138,0.2,6.9
68.319,5.35,385,0.17,22.65
70.27,44.53,95,0.15,6.33
70.945,28.972,255,0.22,11.59
